path,transcript
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503256.wav,შვიდი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503257.wav,ორი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503258.wav,არა
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503298.wav,ნული
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503300.wav,ერთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503301.wav,დიახ
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503302.wav,ოთხი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503303.wav,ხუთი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503383.wav,"ამან შეიძლება გამოიწვიოს გაყინვა კანით შეხებისას, ან დაბრმავება თვალებთან კონტაქტით."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503386.wav,ბეჭდის საძმო ამოცანას წარმოადგენდა ბეჭდის განადგურება ამ მთაში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503388.wav,მწვერვალთან ახლოს მდებარეობს ჯანთუგანის უღელტეხილი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503389.wav,რაიონი შედის მეკლენბურგ-წინა პომერანიის ფედერალურ მხარეში.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503390.wav,დასავლეთ ფასადზე შემორჩენილია თლილი ქვების სწორხაზოვანი წყობა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503437.wav,"მნიშვნელოვანია, რომ კრიტიკოსებს ჯგუფი არასოდეს მოსწონდათ, მაგრამ რიგითი მსმენელი მათი შემოქმედებით დაინტერესებული რჩებოდა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503439.wav,მიღებული აქვს დამსახურებული მუშაკის საპატიო წოდება.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503440.wav,იმპერია იყო დეცენტრალიზებული და შედგებოდა ფართო უფლებების მქონე წევრი ქალაქებისაგან.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503441.wav,რევოლუცია ატარებდა აბსოლუტურად მშვიდობიან ხასიათს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503474.wav,"ითვლება, რომ სეხემხეტის სიკვდილის მომენტში დამთავრებული დარჩა მხოლოდ დაბლა მასტაბა."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503475.wav,ძველი პოემა ხალხურ ეპოსში იღებს სათავეს.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503476.wav,ექვსი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503477.wav,სამი
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503478.wav,"მემორანდუმის ყველაზე მნიშვნელოვანი მუხლი არის შემოთავაზება, რომელიც ეხება ბური ფერმერების ბიზნესის გადმოტანას საქართველოში."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503500.wav,"თუმცა, მასში კვლავ მონაწილეობს შონ კონერი."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503501.wav,ჩრდილო-დასავლეთი კუთხე მთლიანად დანგრეულია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503502.wav,"შემოსაზღვრულია მთებით, ძირითადად დაბალი მწვერვალებით."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503503.wav,აქვს მრავალი საერთაშორისო მედალი.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503504.wav,სოფელში არის ფეოდალური ხანის ეკლესია.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503547.wav,იგი გადაარჩინა მეფის ქალიშვილმა და სასახლეში გაზარდა.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503548.wav,პაპად არჩევის შემდეგ სერიოზულად წინ აღუდგა ბიზანტიის იმპერიის გავლენას.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503549.wav,"პროექტის რეალიზება მოხდა ფრანგული, ბრაზილიური და ესპანური კომპანიების მიერ."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503550.wav,"ნიშის ჩრდილოეთით ოთხიოდე მეტრზე, პატარა ნაგებობების ნანგრევებია, რომლის იატაკში მცირე ზომის ქვევრებია ჩადგმული."
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503596.wav,ელექტრული პოტენციალის მნიშვნელობა პლაზმაში არ შეიძლება განისაზღვროს მხოლოდ მუხტის სიმკვრივით.
D:/Maya/asr_geo/CommonVoice/common_voice_ka_25503598.wav,აღმოსავლეთ კედლის ღერძზე პატარა სამკუთხა სარკმელია გაჭრილი.
